1/31/2000	2/29/2000	3/31/2000	4/30/2000	5/31/2000	6/30/2000	7/31/2000	8/31/2000	9/30/2000	10/31/2000	11/30/2000	12/31/2000	1/31/2001	2/28/2001	3/31/2001	4/30/2001	5/31/2001	6/30/2001	7/31/2001	8/31/2001	9/30/2001	10/31/2001	11/30/2001	12/31/2001	1/31/2002	2/28/2002	3/31/2002	4/30/2002	5/31/2002	6/30/2002	7/31/2002	8/31/2002	9/30/2002	10/31/2002	11/30/2002	12/31/2002	1/31/2003	2/28/2003	3/31/2003	4/30/2003	5/31/2003	6/30/2003	7/31/2003	8/31/2003	9/30/2003	10/31/2003	11/30/2003	12/31/2003	1/31/2004	2/29/2004	3/31/2004	4/30/2004	5/31/2004	6/30/2004	7/31/2004	8/31/2004	9/30/2004	10/31/2004	11/30/2004	12/31/2004	1/31/2005	2/28/2005	3/31/2005	4/30/2005	5/31/2005	6/30/2005	7/31/2005	8/31/2005	9/30/2005	10/31/2005	11/30/2005	12/31/2005	1/31/2006	2/28/2006	3/31/2006	4/30/2006	5/31/2006	6/30/2006	7/31/2006	8/31/2006	9/30/2006	10/31/2006	11/30/2006	12/31/2006	1/31/2007	2/28/2007	3/31/2007	4/30/2007	5/31/2007	6/30/2007	7/31/2007	8/31/2007	9/30/2007	10/31/2007	11/30/2007	12/31/2007	1/31/2008	2/29/2008	3/31/2008	4/30/2008	5/31/2008	6/30/2008	7/31/2008	8/31/2008	9/30/2008	10/31/2008	11/30/2008	12/31/2008	1/31/2009	2/28/2009	3/31/2009	4/30/2009	5/31/2009	6/30/2009	7/31/2009	8/31/2009	9/30/2009	10/31/2009	11/30/2009	12/31/2009	1/31/2010	2/28/2010	3/31/2010	4/30/2010	5/31/2010	6/30/2010	7/31/2010	8/31/2010	9/30/2010	10/31/2010	11/30/2010	12/31/2010	1/31/2011	2/28/2011	3/31/2011	4/30/2011	5/31/2011	6/30/2011	7/31/2011	8/31/2011	9/30/2011	10/31/2011	11/30/2011	12/31/2011	1/31/2012	2/29/2012	3/31/2012	4/30/2012	5/31/2012	6/30/2012	7/31/2012	8/31/2012	9/30/2012	10/31/2012	11/30/2012	12/31/2012	1/31/2013	2/28/2013	3/31/2013	4/30/2013	5/31/2013	6/30/2013	7/31/2013	8/31/2013	9/30/2013	10/31/2013	11/30/2013	12/31/2013	1/31/2014	2/28/2014	3/31/2014	4/30/2014	5/31/2014	6/30/2014	7/31/2014	8/31/2014	9/30/2014	10/31/2014	11/30/2014	12/31/2014	1/31/2015	2/28/2015	3/31/2015	4/30/2015	5/31/2015	6/30/2015	7/31/2015	8/31/2015	9/30/2015	10/31/2015	11/30/2015	12/31/2015	1/31/2016	2/29/2016	3/31/2016	4/30/2016	5/31/2016	6/30/2016	7/31/2016	8/31/2016	9/30/2016	10/31/2016	11/30/2016	12/31/2016	1/31/2017	2/28/2017	3/31/2017	4/30/2017	5/31/2017	6/30/2017	7/31/2017	8/31/2017	9/30/2017	10/31/2017	11/30/2017	12/31/2017	1/31/2018	2/28/2018	3/31/2018	4/30/2018	5/31/2018	6/30/2018	7/31/2018	8/31/2018	9/30/2018	10/31/2018	11/30/2018	12/31/2018	1/31/2019	2/28/2019	3/31/2019	4/30/2019	5/31/2019	6/30/2019	7/31/2019	8/31/2019	9/30/2019	10/31/2019	11/30/2019	12/31/2019	1/31/2020	2/29/2020	3/31/2020	4/30/2020	5/31/2020	6/30/2020	7/31/2020	8/31/2020	9/30/2020	10/31/2020	11/30/2020	12/31/2020	1/31/2021	2/28/2021	3/31/2021	4/30/2021	5/31/2021	6/30/2021	7/31/2021	8/31/2021	9/30/2021	10/31/2021	11/30/2021	12/31/2021	1/31/2022	2/28/2022	3/31/2022	4/30/2022	5/31/2022	6/30/2022	7/31/2022	8/31/2022	9/30/2022	10/31/2022	11/30/2022	12/31/2022
128276	128617	128973	129698	130427	131154	131892	132677	133480	134290	135112	135952	136741	137458	138184	138953	139750	140533	141322	142135	142938	143746	144487	145196	145844	146521	147235	147986	148786	149630	150545	151498	152438	153386	154281	155172	155984	156812	157657	158573	159556	160542	161572	162664	163820	164977	166016	167009	167993	169129	170399	171785	173315	174940	176675	178375	180031	181604	183082	184581	186055	187594	189186	191011	192913	194904	196869	198843	200749	202524	204121	205552	206759	207928	209147	210463	211723	212793	213592	214210	214575	214856	214966	215047	215065	215117	215164	215227	215125	214838	214295	213718	213003	212253	211299	210327	209155	207887	206464	204982	203477	201881	200159	198185	196259	194410	192582	190755	188966	187568	186259	185047	183792	182643	181615	180623	179704	178989	178667	178535	178471	178373	178398	178581	178676	178494	177813	176894	175797	174729	173633	172632	171683	170826	170021	169179	168316	167489	166846	166281	165790	165263	164821	164421	164195	164090	164262	164593	165077	165534	166000	166440	166922	167485	168176	168950	169890	170943	172154	173382	174691	176026	177361	178592	179762	180891	181944	182953	183948	184978	185835	186552	187209	187882	188467	188872	189246	189724	190361	191082	191806	192612	193507	194450	195385	196194	196902	197577	198296	199048	199773	200632	201585	202628	203550	204551	205522	206501	207381	208221	209099	210043	211104	212202	213304	214438	215609	216866	218062	219210	220207	221207	222299	223502	224769	226069	227363	228728	230055	231378	232604	233724	234761	235746	236732	237706	238688	239698	240746	241722	242559	243280	243951	244578	245155	245741	246402	247144	247897	248740	249736	250891	252188	253420	254298	255041	256187	258139	260689	263555	266648	269765	273098	276558	280323	284270	289055	294658	300623	306101	310795	314950	318882	323283	328039	333275	338512	344016	348988	353138	355519	356556	356904	357416	357905	357906
226266	227618	228829	231213	233418	235765	238232	240797	243369	245907	248332	250597	252770	255164	257501	259949	262274	264797	267252	269914	272618	275601	278344	280989	283655	286295	288882	291396	294028	297004	300221	304179	308345	312506	316225	319994	323787	327644	331750	335560	339432	343094	346943	350689	354154	357409	360446	363393	366725	370038	373582	376966	381000	385325	390088	394838	399706	404547	409100	413272	417198	421097	425122	430001	435206	440353	445050	449772	454610	459509	463797	467993	471589	475389	478461	481304	483655	485896	487327	487841	487404	486138	484398	482373	480606	479371	479416	479100	478811	477215	475356	473498	471376	470034	468435	466942	465538	463940	461833	459537	456154	453063	449590	446553	443253	439617	435858	432451	428787	425299	421837	418642	416034	413368	410880	408144	406118	404571	403688	403194	403116	403405	403246	403191	402857	403338	403621	403627	402756	401122	399201	397012	395614	394424	393687	392390	391098	389293	387596	385704	383881	382027	380051	378330	376762	375368	374307	373553	373319	373306	373161	372762	372279	371808	371834	372133	372642	373441	374424	376098	378033	379903	381591	382918	384368	385982	387727	389224	391008	392560	394316	395778	397283	398601	399410	399905	400290	400621	400952	401491	402040	402915	403528	404664	405652	406784	407399	407674	408016	408426	409583	410419	411149	411774	412924	414594	416166	417362	418297	419138	420118	421285	422623	424016	425901	427554	429722	431472	434111	436379	438702	440599	442338	443970	445507	447142	449255	451794	454730	457799	460260	462009	462719	463418	464529	466236	468022	469633	470662	471608	472492	473555	474249	474478	474405	474235	473917	473561	473356	473950	474997	476540	478115	479804	480829	481526	482995	485890	490954	496907	503498	509763	515122	520391	525323	530617	536721	544497	552991	561005	567183	571990	575760	579214	583395	588251	594875	602165	609829	615934	620305	622586	623535	623959	624928	626122
240598	241457	242727	245142	247707	250139	252636	255251	257737	260009	262114	264320	266016	267859	269819	272532	275174	277596	280098	282708	285427	288124	290476	292964	295019	297460	300369	304066	308273	312591	318036	323690	329428	334544	339632	344653	348887	352790	357097	361904	367891	372621	378817	385300	392991	399327	405483	411599	418832	426783	435839	446200	458936	471497	482696	491908	501131	510163	516118	522281	527793	535436	543514	551834	559920	567423	576308	585709	595380	605072	611590	618412	624183	629873	634977	639278	644639	648686	649944	651460	649718	649937	648609	648491	648582	648221	647110	645023	641406	638060	631855	625065	616709	608876	602976	595538	588792	578757	567982	553563	538889	525291	512975	502081	494346	486543	478080	466949	458972	454639	451480	448437	445465	441869	439480	437826	438074	438935	442277	447438	449515	449033	449364	452604	456591	456025	453534	448873	444756	440583	436817	435508	434806	435217	433422	431636	426650	425489	424425	422468	418001	413830	413485	413886	413312	412579	411871	412446	413659	415486	418303	420464	422989	426832	431464	438262	444957	454624	464011	474169	482475	491134	498646	506528	513169	518411	524262	529485	535262	537747	538560	537753	537667	537777	538651	537234	536845	537400	540727	544661	549431	554582	558606	560168	562188	564295	565498	566964	569015	573506	576934	582964	587092	591616	593529	596821	600054	602995	603677	605312	607564	612275	616089	618997	623592	626729	630213	631791	635023	638836	640338	642030	644217	649107	655107	660422	665476	670861	676047	680722	683288	686167	686481	687311	687691	691055	692936	692367	691159	688969	687694	687284	688358	689467	688677	689607	692593	697131	699257	701142	704327	710786	718237	723686	721811	718858	720854	730680	742049	752757	760881	767807	773552	781693	790373	802338	819165	840139	862273	876656	886501	891742	899416	909306	920859	934062	952694	973118	990735	992208	988839	973842	963691	953568	948645	945424
170254	170658	171176	172211	173301	174381	175583	176938	178336	179707	180954	182183	183329	184341	185476	186601	187988	189271	190554	191853	193167	194584	195751	196805	197698	198748	200010	201071	202259	203359	204845	206366	207832	209177	210143	211312	212439	213805	215044	216461	217690	218811	219860	221206	222722	224147	225400	226524	227886	229188	230524	232015	233663	235569	237306	239080	240580	242148	243703	245481	247123	248874	250574	252524	254548	256617	258519	260334	262280	264189	265835	267418	268948	270460	271987	273304	274753	275590	276303	276778	277151	277313	277411	277686	278277	278830	279198	279144	278833	278317	277635	276902	275766	274642	273556	272257	270951			264504		261059	259965	256485	254294	250514	247465	243460	239045	235960	232707	231363	229052	227594	225933	224400	221891	219692	217572	216919	215780	215437	213924	214520	213823	214647	212243	210926	208275	206609	203731	201260	199014	197285	196192	194618	193958	192541	192202	190896	189821	187398	186019	183769	182711	180608	180505	180227	180735	180666	179907	179130	178199	178566	178969	179290	180010	181076	182055	183379	184623	186709	188391	190459	192077	194233	195200	196508	197218	198691	199449	199915	200576	201673	202563	202775	203096	203313	203744	204238	204694	205287	206162	207401	208347	208373	208352	208171	208196	208183	208408	209237	210297	212072	213392	214352	214823	215192	215812	216253	216721	217229	218251	219741	221585	223279	225061	226347	227310	227453	227525	227676	228315	229237	230378	231814	233386	234736	235551	236050	236499	236920	237334	237642	238304	238813	239581	240195	240762	241545	242044	242538	242576	242475	242409	242327	242317	242209	242208	242425	242915	243530	244069	244192	244037	244013	245036	246734	249672	252617	255464	257740	259324	261799	264087	267330	270266	274281	278621	282896	286097	288878	291671	294491	297232	299912	303341	306934	311021	314088	315978	316308	316606	317244	317759	317300
129923	130024	130113	130326	130543	130726	130915	131272	131713	132231	132711	133189	133396	133080	132801	132676	132878	132946	133017	133311	133527	133723	133762	133907	134059	134360	134744	135288	135788	136467	137075	137712	138163	138565	138942	139299	139570	139704	139875	140066	140255	140458	140526	140690	140856	141113	141300	141303	142039	143513		147787	148840	149192	149341	149717	150057	150427	150658	150838	151538	151884	152269	152423	152869	153331	153588	153903	154227	154235	154332	154187	154195	154416	154734	155337	155987	156611	156940	157064	157292	158047	158521	159032	158696	158264	157816	158010	158457	158861	159214	159611	160184	160531	160724	160878	159891	158632	157085	156526	156129	155852	155712	155143	154258	153144	152327	151790	151388	151429	151592	151896	152092	152039	152095	151861	151827	151721	152241	152635	152605	152363	152159	152528	152674	152726	152177	151354	150313	149411	148493	147979	147560	147067	146597	145917	145544	144972	144909	144760	144825	144685	144522	144130	143845	144239	144835	145529	146005	146586	147302	147723	148080	148398	149066	149738	150533	151220	152176	153141	154218	155321	156491	157420	158450	159600	160986	162221	163182	164245	165217	166185	167083	168175	168943	169696	170232	171217	172479	173920	175519	177081	178805	180519	182305	184098	185850	187031	188094	189266	190899	192776	194420	196134	197670	199484	201387	203212	205081	206419	207867	209394	211335	213402	215191	217056	218482	220103	221564	223118	224384	225664	227281	229117	230932	232542	234310	236270	238201	239737	240897	242012	242975	244156	245152	246228	247283	248582	250259	251361	251973	252007	252130	252126	252188	252856	253983	254539	254796	254712	255696	256631	257877	258501	258932	259556	260622	262969	265558	268648	271037	273637	275955	279325	283349	288883	295307	302637	310457	318339	325507	331570	337059	342968	350405	358905	366987	376446	385132	392651	394824	393831	392135	392285	392143	390257
127011	127075	126950	127064	127071	127273	127385	127663	128020	128271	128791	129272	129500	129450	128962	128748	128694	128885	129057	128952	129064	129222	129460	129571	129699	129911	130454	131078	131677	132179	132687	133350	133896	134335	134615	134867	135236	135557	135946	136192	136440	136646	136876	137132	137304	137518	137689	137933	138388	139483		142578	143886	144282	145292	145831	146698	147364	148045	148826	149511	150211	150731	151166	151355	151612	151733	151757	151686	151580	151745	151800	151944	151891	152098	152404	153068	153585	154173	154704	155354	156104	156722	157438	157764	157772	157546	157754	158273	158995	159417	159907	160234	160584	160788	161067	160561	160055	159457	159432	159193	158879	158614	157971	157160	156395	155490	154557	153581	153470	153504	153749	153995	154479	155071	155212	155010	154542	154542	154760	154778	154902	155275	155878	156262	156068	155230	153867	152732	151909	151416	150914	150348	149721	148870	148233	147739	147446	147323	147234	147030	146725	145845	145263	145077	145444	146049	146465	147000	147336	147886	148380	148716	148735	149027	149362	150170	151153	152787	154496	156101	157350	158626	159963	161326	162736	164050	165276	166675	168151	169394	170307	171142	172405	173787	175390	176941	178364	179705	181095	182644	184085	185706	187137	188549	189684	190410	190893	191390	192298	193158	193961	194976	195856	196400	196599	197187	197905	198597	198866	199134	199444	200400	201488	202152	202688	203220	203915	204362	204823	205105	205349	205679	206285	207044	207745	208417	208904	209410	210369	211389	212310	212884	213796	214772	215789	216579	217284	218261	219103	219598	219626	219732	220166	220646	221087	221394	222121	222863	223517	223468	223692	224290	225328	225927	226351	226823	227878	229810	231981	234395	236667	239003	241660	243598	246102	249329	254651	260530	266612	271557	275917	279140	282620	286129	290519	295958	302061	307716	311953	314567	315809	316186	316795	317443	317106
200209	200484	200883	201744	202922	204247	205871	207653	209412	211198	212936	214951	216731	218334	220064	222221	224684	227182	229685	232270	234754	237108	239470	241814	243940	245951	248154	250835	253898	257224	260810	264559	268074	271253	274008	276735	279129	281966	284970	288384	291728	295284	298980	302614	306306	310011	313502	316703	319678	323382	327597	332837	338834	345705	353512	361269	369020	375127	380428	385736	391949	398007	404359	411899	420819	429517	437453	444377	451234	457345	462204	466641	470450	474493	478585	482040	484616	485564	485833	485220	482733	479360	476737	475167	473777	472306	470974	470399	468996	466031	462123	458085	454843	450912	446759	441851	437285	432299	426523	420293	413129	406582	399755	393497	386892	381122	376165	372074	367490	363081	358985	355685	353760	352291	350911	349111	347100	346033	346134	347574	349559	350587	352011	353503	355393	355586	354488	352663	351295	350190	348796	347718	347260	348070	348535	348827	347991	347611	346416	345430	343835	342803	342903	343198	343659	344361	346056	347659	348743	349699	350686	351456	352131	353799	356519	359476	362642	365467	368106	370295	372497	374409	376376	378396	381485	384485	387568	389442	391310	393272	395018	396229	396071	395624	395257	394747	394797	395004	395509	395864	395665	396408	397229	397512	397188	396709	396441	395985	395885	396508	397257	398308	399129	399321	399489	400360	401873	402799	403270	403617	404803	405980	407283	408841	411001	413800	415288	416125	415662	416053	416443	417878	419259	421213	423201	424466	425509	426476	428158	429845	431544	433046	434203	435057	435810	436857	437802	439476	441197	443256	444535	445259	445427	445614	445525	446397	447682	449710	451574	453033	453963	455034	456430	458490	459620	461251	464047	468469	473528	478484	483558	488474	493321	498595	504875	512257	520039	527439	532998	537010	539750	542920	546186	550029	554244	559759	565857	571724	576501	578991	579737	578664	578775	580092	582009	582963
140286	140825	141306	142247	143018	143787	144603	145466	146386	147287	148266	149303	150283	151317	152549	153907	155464	157049	158923	161014	163176	165354	167206	168944	170503	172038	173499	175127	176827	178660	180623	182880	184960	186938	188672	190964	193253	195660	198089	200684	203380	205841	208281	210876	213700	216472	219167	221541	224277	226788	229619	232403	236067	240087	244500	249100	253743	258309	262547	267195	271615	276426	281555	287234	293623	300476	308123	315497	322593	328716	334133	339010	343972	348298	353173	359240	365167	370182	373027	374918	375850	375945	376426	376284	375684	374673	372550	370009	366816	363502	359385	354842	349870	345714	340418	335335	328234	321928	314326	308049	300964	294948	287916	280480	272547	264614	257446	250947	244955	239834	234396	229541	224357	220459	217077	214390	211865	210141	208945	207746	207275	207214	207733	207662	207040	205513	204027	202382	200959	198819	197053	195416	193913	192596	191476	190785	189737	188481	187164	186285	185786	185616	185661	185670	186011	185932	186437	186836	187722	188521	189437	190901	192728	194557	196062	197664	199944	202668	205687	208887	211969	214422	217185	220142	223638	226980	231062	235045	238847	241411	243713	244857	246576	248033	250234	251845	253503	255293	256460	258069	259422	261438	262674	264062	265221	266674	267878	269273	271089	272773	274927	276988	279223	280993	282286	283696	285259	287449	289684	291588	293001	294540	296385	298522	300192	301706	302671	304098	305532	307074	308427	310187	311828	313895	315140	316842	317941	319952	322070	323941	325939	327673	329610	330812	331702	332519	334599	336497	338367	338593	339167	339613	339875	340390	340652	340709	340587	341241	342116	342613	343480	345889	348166	350032	351176	352167	353002	354702	357464	360750	363819	367538	371613	375278	379888	384286	391116	398601	407425	416339	426031	435790	444834	453286	462649	471535	483530	496142	511915	525509	537545	544775	548952	550270	553268	554425
240990	242323	243609	245841	248070	250432	253522	257109	260970	264944	268928	272962	276421	279504	282568	285899	289113	292358	295731	299395	302996	307035	310875	314291	316722	318896	321275	323850	326460	329105	332024	335343	339143	344161	348888	353282	356399	359716	363255	367165	370811	373751	375472	377268	379389	381940	384525	387034	389633	392414	395255	398324	401080	403613	406204	408824	412278	415560	418828	421212	423402	426553	429628	433173	435973	437262	437923	437632	438859	439724	440487	439960	439391	437938	436928	436161	435355	434041	431039	428399	425020	422137	418848	416570	415123	414092	413415	412435	411476	410037	408462	406977	405459	403527	401375	399279	397249	394870	392599	390462	388665	386803	384666	382388	379583	376302	373237	370451	368441	366435	363896	361992	361010	361128	361128	360792	360293	359900	360106	361408	363058	364821	366018	367200	367909	368308	368006	367414	365467	363631	361906	361582	361068	359785	357878	356682	355659	355444	354315	353189	351239	349341	347476	346212	345087	344735	345145	346136	347250	347853	348654	349158	349534	350573	352334	354768	355953	358509	361756	366334	369681	371880	373685	375786	378781	381571	383839	385560	387377	388669	390173	392025	393995	395613	396631	397235	397277	396842	397076	398663	401638	404752	406921	407463	408350	409324	411344	412778	414115	415729	417225	418213	420065	422142	424690	427274	430207	432612	433451	433795	435483	437144	439928	441756	443755	445118	447036	449617	452119	454772	457603	458965	460848	462386	465716	467980	470681	473224	476702	479365	481883	483847	485357	486649	487423	488862	489780	491122	492444	493459	493127	492216	491380	491669	491843	492739	494343	495906	497320	498971	501804	503889	506487	507919	509139	509072	511212	516718	523832	531734	539120	546726	552984	559774	565764	572573	580716	591572	602289	610889	616586	621792	626635	631675	637487	645162	654221	664636	673160	679180	680499	679098	677526	676099	675216	673962
365574	367549	370250	377655	387007	395686	403278	409456	416878	423753	431150	438808	445072	451258	458111	465868	472040	475988	479085	482129	484588	485858	486786	486327	485803	486007	487777	491579	495747	501654	507660	514045	519289	523302	527104	530379	533971	537662	541396	545198	547268	548942	550730	554616	559240	564928	570086	575827	583230	591642	602278	611900	621896	631325	641243	650552	660223	669518	679984	690629	701785	713583	725037	737385	749474	760487	768876	776634	784282	792449	798034	801700	803945	807529	811853	814162	813319	811780	809864	809213	806174	802695	800914	800610	802692	800062	797560	793950	790715	786684	782707	779205	774886	767967	760613	750075	742167	735847	729446	722201	712853	704224	694125	682865	671195	660678	649568	641370	629237	621459	613888	607647	601317	598522	596269	590689	583260	582532	587972	596602	603262	606542	607443	607836	609649	609085	605535	602805	598535	595492	590643	586025	582162	577569	574858	571347	566864	561092	558609	554195	552531	548508	547004	545528	543010	542732	542908	545773	551338	559781	566607	574373	580761	590149	600354	611506	626570	639842	655115	668628	684365	696470	706792	713917	722361	731787	743354	757107	767325	777545	780825	785378	784789	784471	783142	785272	789937	796684	804674	813333	820216	829666	839855	850081	857740	865176	871884	881439	893248	905174	912607	921327	934348	946453	949399	951762	953084	956366	950962	947612	945624	952115	957604	965088	970179	976322	981776	986944	992392	998351	1006072	1013408	1025417	1036537	1051429	1065605	1080703	1091907	1105199	1120315	1135327	1146941	1154842	1163746	1167878	1169183	1164576	1154167	1145324	1141045	1139756	1139426	1138651	1137884	1137449	1135138	1135274	1133562	1133742	1137120	1146394	1154397	1166287	1167468	1157719	1147422	1149836	1167583	1181945	1194646	1204804	1212465	1218515	1229399	1246180	1268989	1299760	1335558	1371718	1394202	1407195	1411613	1422115	1434173	1453284	1478041	1508620	1535472	1551053	1549729	1535532	1504980	1482397	1465591	1455861	1444267
